0.0153 0.0222 0.0229 0.0377 0.0181 0.0076 0.0145 0.0543 0.0428 0.0099 0.0266 0.0882 0.0547 0.2084 0.0054 0.0072 0.0044 0.1407 0.055 0.0425 0.0269 0.0244 0.0094 0.0027 0.0441 0.0142
0.1791 0.0226 0.0005 0.019 0.2443 0.0004 0.0002 0.0164 0.0955 0.0091 0.0014 0.0377 0.0007 0.0021 0.0986 0.0 0.0 0.172 0.0073 0.0016 0.0681 0.0002 0.0004 0.0 0.0226 0.0002
0.1632 0.0005 0.0266 0.0016 0.0965 0.0011 0.0034 0.2796 0.0821 0.0006 0.1082 0.0326 0.0025 0.0021 0.1087 0.0007 0.005 0.0287 0.003 0.0052 0.0213 0.0014 0.0007 0.0001 0.0173 0.0073
0.2198 0.0037 0.0002 0.0241 0.2541 0.0018 0.0081 0.0221 0.14 0.0059 0.0015 0.0139 0.0062 0.0086 0.1045 0.0004 0.0002 0.078 0.0096 0.0068 0.04 0.0028 0.0077 0.0 0.0348 0.0051
0.0456 0.0121 0.0172 0.0281 0.0543 0.0086 0.0122 0.0103 0.0483 0.0052 0.0174 0.1492 0.034 0.1354 0.0123 0.0069 0.0022 0.1805 0.0701 0.0576 0.008 0.0207 0.0069 0.0047 0.0421 0.01
0.1861 0.0 0.0004 0.0007 0.1659 0.0993 0.0007 0.0037 0.1568 0.0011 0.0055 0.0465 0.004 0.0077 0.0934 0.0 0.0 0.1363 0.0099 0.0242 0.0454 0.0004 0.0 0.0004 0.0092 0.0026
0.1551 0.0042 0.0012 0.0066 0.2176 0.0034 0.0273 0.0934 0.101 0.007 0.002 0.0424 0.0086 0.0205 0.0785 0.0006 0.0018 0.0878 0.0121 0.0082 0.0898 0.002 0.0112 0.001 0.0157 0.0012
0.3777 0.0036 0.0012 0.0034 0.1661 0.0013 0.0007 0.0011 0.15 0.0023 0.0057 0.0268 0.017 0.0254 0.0836 0.0011 0.0003 0.0324 0.0056 0.0122 0.0501 0.0039 0.005 0.0 0.0214 0.0022
0.1233 0.0119 0.0555 0.0313 0.0917 0.0082 0.0252 0.0072 0.0061 0.0122 0.0285 0.0818 0.033 0.1745 0.0379 0.0075 0.0055 0.0481 0.0908 0.0528 0.0087 0.0113 0.0021 0.0037 0.0271 0.0142
0.4182 0.0007 0.001 0.0044 0.1656 0.0002 0.001 0.0114 0.0935 0.0019 0.008 0.0034 0.0044 0.006 0.1583 0.001 0.0002 0.0172 0.0048 0.0022 0.0839 0.0012 0.0019 0.0 0.008 0.0017
0.2746 0.001 0.0015 0.0003 0.2169 0.0008 0.0001 0.0442 0.1552 0.0025 0.0129 0.03 0.0057 0.0083 0.0951 0.0007 0.0008 0.0374 0.0206 0.004 0.0347 0.0011 0.0083 0.0 0.0427 0.0004
0.1924 0.0102 0.0059 0.0304 0.2004 0.009 0.0043 0.0044 0.1707 0.0046 0.0078 0.1299 0.0154 0.0032 0.0639 0.004 0.0006 0.0023 0.014 0.0155 0.0303 0.0099 0.0021 0.0001 0.0664 0.0024
0.3808 0.0242 0.0304 0.0021 0.1433 0.0014 0.0006 0.0023 0.1722 0.0013 0.0035 0.0044 0.0244 0.0023 0.0984 0.0162 0.0004 0.0077 0.0099 0.0014 0.0396 0.0011 0.0008 0.0 0.0294 0.0017
0.19 0.0086 0.0215 0.0851 0.1612 0.0037 0.0669 0.0076 0.1173 0.0088 0.0162 0.0074 0.0036 0.097 0.0469 0.0012 0.0017 0.004 0.0321 0.0616 0.0127 0.0029 0.0029 0.0006 0.0269 0.0118
0.0109 0.019 0.0202 0.0303 0.019 0.0131 0.0097 0.021 0.0124 0.0065 0.0156 0.094 0.0435 0.2569 0.0262 0.016 0.001 0.1367 0.0738 0.0354 0.0639 0.0195 0.0246 0.0036 0.0178 0.0094
0.2135 0.0003 0.0017 0.0013 0.1775 0.0107 0.0003 0.0892 0.1096 0.002 0.006 0.0423 0.0003 0.0033 0.0979 0.0643 0.0 0.1119 0.0153 0.012 0.032 0.0 0.0007 0.0 0.008 0.0
0.0509 0.0038 0.0 0.0 0.0127 0.0 0.0 0.0 0.0954 0.0013 0.0 0.0013 0.0 0.0 0.0025 0.0 0.0051 0.0 0.0013 0.0013 0.8092 0.0013 0.0115 0.0 0.0025 0.0
0.179 0.0088 0.013 0.0332 0.1435 0.0037 0.0207 0.0079 0.2061 0.0043 0.0118 0.0284 0.0201 0.0304 0.0891 0.0031 0.0027 0.0439 0.0253 0.041 0.0334 0.0083 0.0029 0.0001 0.0357 0.0037
0.134 0.006 0.041 0.0016 0.1098 0.001 0.0011 0.2213 0.0849 0.0037 0.0281 0.0224 0.0153 0.0066 0.0547 0.0124 0.0016 0.0066 0.0627 0.1138 0.0399 0.0045 0.0084 0.0 0.0146 0.004
0.1969 0.0013 0.0069 0.0004 0.1485 0.0012 0.0012 0.1121 0.1183 0.0045 0.0046 0.0158 0.0053 0.0059 0.1032 0.0007 0.0 0.0743 0.0237 0.0891 0.0219 0.0012 0.0051 0.0016 0.0332 0.0234
0.0578 0.0312 0.0344 0.0515 0.0592 0.0123 0.028 0.0149 0.0464 0.0068 0.0262 0.0911 0.0544 0.1182 0.0073 0.0107 0.0025 0.1303 0.1183 0.0489 0.0033 0.0077 0.0117 0.0059 0.0094 0.0116
0.2715 0.0005 0.0005 0.0038 0.2682 0.0005 0.0038 0.0014 0.2923 0.0033 0.0038 0.011 0.0005 0.0038 0.0834 0.0008 0.0 0.0129 0.0016 0.0005 0.0077 0.0016 0.0 0.0 0.0255 0.0005
0.3037 0.0041 0.0029 0.009 0.1805 0.0004 0.0008 0.0262 0.1944 0.0004 0.0016 0.0143 0.002 0.0499 0.0856 0.0004 0.0008 0.0184 0.045 0.0029 0.0192 0.0008 0.002 0.0 0.0332 0.0012
0.1723 0.0018 0.0142 0.0036 0.087 0.0071 0.0 0.0355 0.341 0.0018 0.0 0.0249 0.0107 0.0089 0.0355 0.0018 0.0 0.0 0.0249 0.0604 0.0693 0.0 0.0071 0.0337 0.032 0.0266
0.2591 0.0092 0.0157 0.0296 0.0751 0.0038 0.0052 0.0077 0.0358 0.0057 0.0186 0.0972 0.0228 0.1622 0.0626 0.0018 0.0024 0.0419 0.0617 0.0148 0.0372 0.012 0.0034 0.0013 0.0063 0.007
0.2906 0.0068 0.0032 0.0068 0.1788 0.0007 0.0029 0.0476 0.1626 0.0022 0.0105 0.0274 0.0285 0.0061 0.0591 0.0 0.0014 0.0076 0.0083 0.0047 0.044 0.0047 0.0058 0.0004 0.0458 0.0436
